Rank,Gene,GBM_loss,LGG_loss,pval,FDR,Total_loss
1,CTBP2,472,136,4.015362174642708e-92,9.66646964542993e-91,608
2,TEX36,471,136,1.8128006424579834e-91,4.295250985962749e-90,607
3,METTL10,471,135,4.9932271395984714e-92,1.1963039567950278e-90,606
4,C10orf137,471,135,4.9932271395984714e-92,1.1963039567950278e-90,606
5,MIR4682,472,134,3.000641893161397e-93,7.450519424639752e-92,606
6,MGMT,471,135,4.9932271395984714e-92,1.1963039567950278e-90,606
7,GRK5,473,133,1.7604587128881678e-94,4.591251872396885e-93,606
8,MCMBP,472,133,8.138552046901664e-94,2.0721581160772338e-92,605
9,BCCIP,470,135,2.2459959104989138e-91,5.230907064730959e-90,605
10,EBF3,470,135,2.2459959104989138e-91,5.230907064730959e-90,605
11,MIR4296,470,135,2.2459959104989138e-91,5.230907064730959e-90,605
12,MMP21,470,135,2.2459959104989138e-91,5.230907064730959e-90,605
13,TACC2,472,133,8.138552046901664e-94,2.0721581160772338e-92,605
14,PTPRE,471,134,1.3682416348280958e-92,3.3312359543578047e-91,605
15,LHPP,470,135,2.2459959104989138e-91,5.230907064730959e-90,605
16,PPAPDC1A,471,134,1.3682416348280958e-92,3.3312359543578047e-91,605
17,ZRANB1,470,135,2.2459959104989138e-91,5.230907064730959e-90,605
18,BAG3,472,133,8.138552046901664e-94,2.0721581160772338e-92,605
19,C10orf90,471,134,1.3682416348280958e-92,3.3312359543578047e-91,605
20,OAT,470,135,2.2459959104989138e-91,5.230907064730959e-90,605
