Gene,GBM_gain,LGG_gain,pval,FDR
7SK,6,7,0.7851441588007239,0.8529582593221405
A1BG,151,27,1.8214447738023628e-24,2.735445761296388e-23
A1CF,1,4,0.2075665708088641,0.293085401761272
A2ML1,47,45,1.0,1.0
A2MP1,45,45,0.8266885807345081,0.8782440611399126
A4GALT,10,9,1.0,1.0
AAAS,34,9,0.0001495706990900623,0.0005497437001797738
AACS,33,15,0.017288714357050795,0.035248698372819555
AACSP1,27,10,0.007202344121864641,0.01641974740329154
AADAC,33,5,3.61666815438958e-06,2.014655873242682e-05
AADACL2,33,5,3.61666815438958e-06,2.014655873242682e-05
AADACL3,41,11,4.571119131766079e-05,0.00020431269976447315
AADACL4,41,11,4.571119131766079e-05,0.00020431269976447315
AADAT,9,5,0.4226607189952972,0.521528114195331
AAED1,43,24,0.03168325689176508,0.05898340795841427
AAGAB,9,7,0.803005578017028,0.8612725161162496
AAK1,17,6,0.03388878722533728,0.06171166611866033
AAMDC,11,31,0.001353968964074497,0.003746804109539487
AANAT,35,28,0.5172534384093497,0.6126754584771364
AAR2,181,41,1.5658261251669282e-25,2.5955382723793516e-24
AARD,37,82,3.878959007280169e-06,2.146433543527398e-05
AARS,20,11,0.14714662553723037,0.21853718575139694
AARSD1,18,11,0.2622119360067914,0.3561131176478561
AASDH,41,18,0.0045807899219342495,0.01122073120985297
AASS,427,159,4.188471530846024e-56,8.809869110678654e-55
AATF,13,10,0.6762547896585908,0.7510719147384053
AATK,33,25,0.41868862750569114,0.5203033353645403
ABAT,20,10,0.09676713716624902,0.15324779773939975
ABCA1,43,23,0.021843137916567962,0.04297018482160886
ABCA10,29,28,1.0,1.0
ABCA11P,11,9,0.8231147798009446,0.8749672822091298
ABCA12,14,7,0.18742643540703754,0.26771639784505324
ABCA13,417,107,3.4571183021229175e-77,1.5975077741932916e-75
ABCA17P,23,10,0.03391717220291799,0.06171166611866033
ABCA2,46,29,0.07301751898798065,0.11997561270913493
ABCA3,20,10,0.09676713716624902,0.15324779773939975
ABCA4,43,16,0.0006959087686901522,0.0020625928336666086
ABCA5,28,28,0.8914536122258563,0.9370988433300743
ABCA6,29,28,1.0,1.0
ABCA7,188,54,1.6019619847483446e-21,1.370841315495763e-20
ABCA8,29,27,1.0,1.0
ABCB1,437,133,2.630758197725406e-73,1.062062543372047e-71
ABCB10,49,24,0.005132844054450176,0.01228642843636161
ABCB4,436,133,8.983175537140103e-73,3.550245532020265e-71
ABCB5,422,105,1.1114445268444103e-80,6.597499566857452e-79
ABCB7,7,22,0.004031012981781117,0.01000293340389769
ABCB8,436,162,9.341070200180428e-59,2.607512867403526e-57
ABCB9,34,20,0.09316990601048875,0.14816027620346464
ABCC11,15,10,0.4220733463098171,0.521528114195331
ABCC12,15,10,0.4220733463098171,0.521528114195331
ABCC13,38,16,0.004812498365844113,0.011649597108034636
ABCC2,0,2,0.23838148519734043,0.3277499903592107
ABCC3,28,16,0.12279049161105841,0.18858625727762493
ABCC4,7,11,0.34632995228602165,0.4467602837512002
ABCC5,65,14,3.5461000515614924e-09,2.3817231920550307e-08
ABCC8,6,16,0.029915750036480226,0.0559077568501568
ABCC9,46,36,0.3606933907112876,0.46278456571568705
ABCD1,9,13,0.3917983896250007,0.49140038545083187
ABCD2,34,13,0.004123594272487196,0.010172164714883823
ABCD3,45,15,0.00015608628754170724,0.0005682676039518447
ABCD4,8,3,0.22555444649456768,0.3137331367468202
ABCF3,63,14,1.0350928617977839e-08,6.709117219887405e-08
ABCG1,33,15,0.017288714357050795,0.035248698372819555
ABCG2,9,5,0.4226607189952972,0.521528114195331
ABCG4,11,54,5.276347337804803e-09,3.487684168976784e-08
ABCG8,19,7,0.02815702138835105,0.05325049077071604
ABHD10,28,5,5.949475379404536e-05,0.00025311394121217375
ABHD12,179,43,4.8169822090044494e-24,6.570521236587541e-23
ABHD13,14,17,0.5856429304906156,0.6755653683161583
ABHD15,16,7,0.0916764545126367,0.1460792566441144
ABHD16A,11,9,0.8231147798009446,0.8749672822091298
ABHD17A,185,49,5.373192453598071e-23,6.10859986889749e-22
ABHD17B,41,22,0.026828199805477508,0.0511107325483523
ABHD17C,10,9,1.0,1.0
ABHD2,11,12,0.834320419166767,0.8824441196595892
ABHD3,31,9,0.0006158722150697749,0.0018454048136308618
ABHD4,6,8,0.5977465734263555,0.6870471483022353
ABHD5,29,6,0.00010498855889076932,0.00040069076935745203
ABHD6,29,5,3.430961624841727e-05,0.00015839588589570567
ABI1,12,57,2.948999408830677e-09,1.987962483997752e-08
ABI3,23,13,0.12977679206968482,0.19822903410318618
ABI3BP,29,6,0.00010498855889076932,0.00040069076935745203
ABL1,44,29,0.11577952068595265,0.18014679254679206
ABL2,50,26,0.008727691106057651,0.019510637843223252
ABLIM1,2,0,0.49980444504905874,0.5970935610330732
ABLIM2,12,10,0.8310894554740471,0.8795843158780295
ABLIM3,22,9,0.0284785623542344,0.05353499179320218
ABO,43,28,0.11094945351143418,0.17409245562999878
ABR,9,8,1.0,1.0
ABRA,37,72,0.00016805880229111837,0.0006055439282168944
ABRACL,11,1,0.006234091590507687,0.01442137823571233
ABTB2,9,12,0.5119456496295162,0.6067234663933139
ACA59,8,25,0.0021742859546974515,0.005786536676882213
ACA64,2,4,0.44181760853660845,0.5398179532140471
ACAA2,32,8,0.00016191331805785037,0.0005850852287278144
ACACA,13,10,0.6762547896585908,0.7510719147384053
ACACB,30,8,0.0004279066194789238,0.0013432904705966717
ACAD10,31,8,0.0002640540698855334,0.0008839866298575435
ACAD11,29,5,3.430961624841727e-05,0.00015839588589570567
ACAD9,28,6,0.00017702539567364308,0.0006246633910307265
ACADL,14,7,0.18742643540703754,0.26771639784505324
ACADM,43,14,0.00018491556819071815,0.0006473338002536609
ACADSB,0,1,0.48847926267281105,0.585753877900054
ACADVL,9,7,0.803005578017028,0.8612725161162496
ACAN,10,10,1.0,1.0
ACAP2,37,9,3.4409604621820894e-05,0.0001586137023359442
ACAP3,39,11,0.00011840273809974537,0.0004468567483472575
ACAT1,10,36,5.700294339754515e-05,0.00024792070777420594
ACBD3,47,24,0.009692196866217626,0.021370931219623596
ACBD4,18,11,0.2622119360067914,0.3561131176478561
ACBD5,12,56,5.231351184482962e-09,3.4609881977341464e-08
ACBD6,51,27,0.009614940896617826,0.021256761723157148
ACBD7,15,57,6.820211019120262e-08,4.182357251333119e-07
ACCS,5,12,0.08760451330274163,0.14122419287039223
ACCSL,5,12,0.08760451330274163,0.14122419287039223
ACE,30,26,0.7841504027882417,0.8524336409029181
ACE2,10,12,0.6691085743132619,0.7471132021588526
ACER1,169,45,1.5795631550128622e-20,1.287832761236871e-19
ACER2,15,10,0.4220733463098171,0.521528114195331
ACER3,9,31,0.0002794182946135968,0.0009329266226116044
ACKR2,31,7,0.00010329003718746068,0.0003977460970464832
ACKR3,14,6,0.1139016199639018,0.17748231257707794
ACKR5,27,5,0.00010262147150150756,0.0003977460970464832
ACKR6,9,8,1.0,1.0
ACLY,17,11,0.342272640589673,0.4428376885749394
ACMSD,16,6,0.05147633813886318,0.08805919195460157
ACN9,432,147,6.784902986485259e-64,2.369666815140363e-62
ACO1,27,8,0.0017474370912230362,0.004761206483120285
ACO2,13,9,0.5216605164082674,0.6141656973517843
ACOT11,41,13,0.00021817971695038533,0.0007510022895165911
ACOT6,10,4,0.17837098217268166,0.2582201089521239
ACOT7,33,10,0.0005438448725379064,0.0016506593160416894
ACOT9,9,12,0.5119456496295162,0.6067234663933139
ACOX1,37,29,0.4471609515731121,0.5452633298737413
ACOX3,12,8,0.5017551450947653,0.5979019891322055
ACOXL,18,6,0.022033728705400466,0.04297018482160886
ACP1,23,13,0.12977679206968482,0.19822903410318618
ACP5,179,47,2.8280184962034106e-22,2.7507242082890425e-21
ACP6,52,20,0.00021658469358318906,0.0007510022895165911
ACPL2,35,4,2.737399775611559e-07,1.6411285361331095e-06
ACPP,29,5,3.430961624841727e-05,0.00015839588589570567
ACR,11,9,0.8231147798009446,0.8749672822091298
ACRC,6,19,0.007508495688878724,0.016964433316621133
ACSBG2,173,45,1.4620421134476617e-21,1.2546827691289705e-20
ACSF3,16,9,0.22723874874760935,0.3152292193507849
ACSL1,10,4,0.17837098217268166,0.2582201089521239
ACSL3,16,8,0.1496700762761138,0.2218461513536002
ACSL5,2,1,1.0,1.0
ACSL6,20,9,0.059968271422319905,0.10084016350021278
ACSM1,14,7,0.18742643540703754,0.26771639784505324
ACSM2A,14,7,0.18742643540703754,0.26771639784505324
ACSM3,14,7,0.18742643540703754,0.26771639784505324
ACSM4,49,54,0.4693656147755342,0.568829309449562
ACSM5,14,7,0.18742643540703754,0.26771639784505324
ACSS1,176,41,3.78667007685317e-24,5.2172670838698085e-23
ACSS2,178,39,1.1698931672142e-25,1.945676144542952e-24
ACSS3,32,7,6.180254487828063e-05,0.00025992611839443846
ACTA2,0,2,0.23838148519734043,0.3277499903592107
ACTB,423,102,3.2185541898336736e-83,3.380157120484064e-81
ACTBL2,23,9,0.019296343833463993,0.038618402410842516
