Gene,GBM_loss,LGG_loss,pval,FDR
7SK,11,4,0.11739401838838379,0.18814605187563227
A1BG,57,250,1.813934410614907e-43,2.1574760662119658e-42
A1CF,444,84,1.0306508603296633e-106,7.859105189782844e-105
A2ML1,41,10,1.9055381272330483e-05,6.597140757615776e-05
A2MP1,43,11,1.7244883465093664e-05,5.981358564133849e-05
A4GALT,163,55,2.380243902029398e-15,1.566872212808309e-14
AAAS,37,43,0.41620405100896496,0.5493880742289724
AACS,24,31,0.2703424442748018,0.3855215680554464
AACSP1,28,37,0.20126497816309186,0.3004175776993209
AADAC,29,23,0.570176669107298,0.7075740650761438
AADACL2,29,23,0.570176669107298,0.7075740650761438
AADACL3,44,186,4.626435532894984e-29,3.526043357440307e-28
AADACL4,45,186,1.4671762257919092e-28,1.1131273365578818e-27
AADAT,42,89,3.952383057395415e-06,1.53338580289757e-05
AAED1,43,24,0.03168325689176508,0.05998057782332641
AAGAB,66,44,0.055884486432805275,0.09878756827413519
AAK1,17,9,0.16647170218451413,0.2558299652394651
AAMDC,48,13,8.442569680001136e-06,3.076019445379022e-05
AANAT,12,3,0.03463458748966235,0.06481634150613028
AAR2,9,1,0.02124361667577746,0.04203393173123407
AARD,23,8,0.010210002752726606,0.02207782659442336
AARS,49,13,5.192274458826104e-06,1.9711485195978198e-05
AARSD1,25,9,0.008592030454918093,0.018839509778686262
AASDH,20,40,0.005052797587558806,0.01167201681690118
AASS,2,2,1.0,1.0
AATF,38,9,2.0854681033729672e-05,7.150856390976652e-05
AATK,15,4,0.01877659489313682,0.03792685336623656
ABAT,23,5,0.000856017338988184,0.002343983315034725
ABCA1,43,24,0.03168325689176508,0.05998057782332641
ABCA10,14,2,0.00407043139450625,0.009573511884808655
ABCA11P,34,43,0.23693283769636272,0.3438513272026626
ABCA12,9,14,0.29396202526586646,0.4133961377592067
ABCA13,9,1,0.02124361667577746,0.04203393173123407
ABCA17P,21,5,0.0023727684072766993,0.005873080740502649
ABCA2,41,25,0.07522484843448186,0.1277444803507559
ABCA3,24,5,0.0005085725209138174,0.0014546413574195289
ABCA4,26,179,4.299319434123597e-37,3.776864125111384e-36
ABCA5,14,2,0.00407043139450625,0.009573511884808655
ABCA6,14,2,0.00407043139450625,0.009573511884808655
ABCA7,10,9,1.0,1.0
ABCA8,14,2,0.00407043139450625,0.009573511884808655
ABCB1,2,3,0.680022832919075,0.7924982929488241
ABCB10,21,12,0.16004329865862954,0.247520892870373
ABCB4,2,3,0.680022832919075,0.7924982929488241
ABCB5,3,3,1.0,1.0
ABCB7,2,11,0.0107961595345732,0.023224961839948245
ABCB8,4,3,1.0,1.0
ABCB9,25,30,0.4087182929172062,0.5411869718997154
ABCC11,42,6,7.592284865787007e-08,3.6731498632480654e-07
ABCC12,42,8,9.051506122766144e-07,3.9016276894173035e-06
ABCC13,34,26,0.4262287575425032,0.5603802034966923
ABCC2,467,106,5.331769634944128e-107,4.683850494510567e-105
ABCC3,12,5,0.14213395782907973,0.22213236730216765
ABCC4,150,73,7.780448498421547e-08,3.762971582205038e-07
ABCC5,9,17,0.11163809797601969,0.18090911626707312
ABCC8,62,61,0.9237409663252958,0.9828897008172967
ABCC9,35,12,0.0014681100465925546,0.0038576087318372147
ABCD1,6,15,0.04624296208619189,0.08330276729329351
ABCD2,40,27,0.16581318531816838,0.25534040695535887
ABCD3,22,178,1.2460292536612078e-39,1.2060471294135736e-38
ABCD4,137,103,0.040512208631063966,0.07451627256714129
ABCF3,10,17,0.17244644543844792,0.26200023333109235
ABCG1,25,20,0.6482096886114262,0.7709133039601651
ABCG2,27,61,8.147245068961223e-05,0.0002572796204034801
ABCG4,44,10,4.135802657855368e-06,1.5930263468282908e-05
ABCG8,10,8,0.8138773582697607,0.9021595097349724
ABHD10,33,28,0.6932422072347453,0.8037885487095048
ABHD12,14,8,0.28419329805725324,0.40237056771122137
ABHD13,128,61,5.726994998944804e-07,2.5581599427341316e-06
ABHD15,32,11,0.0017493898903887155,0.004536394775318364
ABHD16A,43,20,0.006069771971890453,0.013867698032203557
ABHD17A,11,9,0.8231147798009446,0.9047189446795246
ABHD17B,49,24,0.005132844054450176,0.011835085707743753
ABHD17C,65,42,0.04145996407177902,0.07597116129376244
ABHD2,63,40,0.0379810894955559,0.07063908956323396
ABHD3,32,41,0.22554408135797818,0.3297122606227665
