names,scores,logfoldchanges,pvals,pvals_adj
LOC728758,14.466979,0.17555961,2.070192482158148e-37,4.1648132356057615e-33
SNHG9,12.562085,0.2209988,2.9123829164535985e-29,2.929565975660675e-25
ZNF771,11.599044,0.12393418,1.7062828279254934e-26,8.581749483051268e-23
POLR2J4,10.97558,0.07090792,2.4084681045405515e-24,9.690712265429363e-21
C7orf47,10.916948,0.12529878,1.6458986603562373e-23,4.139023656130847e-20
SNHG3,10.787639,0.20953633,3.233682388663986e-23,6.505522229514206e-20
SNORA67,10.651581,1.0923088,3.044906320367402e-22,5.104785446095949e-19
C19orf20,10.559896,0.15960728,1.5431281599767125e-23,4.139023656130847e-20
CCR10,10.323225,0.214636,3.641728116967428e-22,5.635714327473133e-19
SCARNA12,10.292901,0.4358645,2.3874911569133795e-21,3.2021031396522246e-18
ADAT3,10.179555,0.22893721,1.2243032530631084e-21,1.7593237746516867e-18
PIGL,10.0729265,0.14462644,1.5292316629118918e-20,1.9228176621538398e-17
SNORD10,9.974715,1.0537593,6.012532457572374e-20,6.720007110080057e-17
C14orf19,9.94222,0.44312662,2.68296778236296e-20,3.175055637975178e-17
SNHG12,9.72096,0.12345658,1.1944843595922642e-19,1.264770334014588e-16
SNORA63,9.684633,1.3023194,9.980484175010356e-19,9.12669911967538e-16
TTC36,9.540951,0.69698524,1.188857977177583e-18,9.582309341980635e-16
NSUN5P1,9.53223,0.15124083,5.555920807100671e-19,5.322572133202444e-16
SPDYE8P,9.487325,0.18047227,1.8231268126007767e-18,1.3368318867793475e-15
C1orf63,9.467121,0.1030123,5.298948825028268e-19,5.322572133202444e-16
ZNF83,9.453296,0.09017373,1.1042265442440183e-18,9.582309341980635e-16
SCARNA16,9.45138,0.84285694,2.9220910809154662e-18,2.0271251160640467e-15
SYCE1L,9.373618,0.6214009,1.8260491977589245e-18,1.3368318867793475e-15
SRRM5,9.301705,0.152872,1.8605871771459255e-18,1.3368318867793475e-15
CTU1,9.185378,0.13398787,1.159622651635656e-17,7.525576937292298e-15
PPIAL4G,9.148851,0.24434341,2.821517521489537e-17,1.5767580415924027e-14
GIYD2,9.148685,0.094679564,1.2938945251960267e-17,8.13455314309177e-15
TMEM160,9.131217,0.13383484,1.397695535435165e-17,8.520860236934743e-15
KRT10,9.116138,0.08988704,4.139195518648491e-17,2.2506036606532526e-14
NPEPL1,8.976106,0.09323262,1.607858688292862e-17,9.513794438551704e-15
NPB,8.930654,0.4237181,2.2546942662618838e-17,1.2959982642473307e-14
PMS2L2,8.899529,0.19462489,1.5097423374097456e-16,7.593249086002316e-14
UQCRHL,8.870617,0.08641944,1.2450498671622793e-16,6.422541853223265e-14
SUMO1P3,8.861262,0.11314325,3.3978724071355866e-16,1.5190754908167496e-13
CMC1,8.841527,0.120932885,3.369853484194673e-16,1.5190754908167496e-13
SCARNA10,8.783768,0.86571664,4.449537965412421e-16,1.9150392393827363e-13
MEX3D,8.766977,0.08762943,1.9478928292668294e-16,9.330406652188113e-14
H3F3A,8.762838,0.06684064,2.44489548779641e-16,1.1438699400811204e-13
SCARNA2,8.734855,0.57487816,4.550495417390021e-16,1.9150392393827363e-13
RMRP,8.72351,0.56389296,5.912541601458066e-16,2.4275206517986397e-13
SPDYA,8.692281,0.21649109,1.9448471105055984e-16,9.330406652188113e-14
RPS27,8.601843,0.22863981,1.0069468067569335e-16,5.330988383772628e-14
LOC493754,8.574021,0.056805983,1.3471960846631897e-15,5.212094390625779e-13
C19orf60,8.558631,0.07509105,4.569136270522485e-16,1.9150392393827363e-13
NAA10,8.553636,0.058681976,1.21716331788625e-15,4.801351299850114e-13
COMMD1,8.533697,0.09323595,2.3186746392199e-15,8.32983864139749e-13
SNORA57,8.502105,1.2631241,3.641113140656916e-15,1.200851051864522e-12
MSTO2P,8.45549,0.11226864,1.4756275040802355e-15,5.4975322457567e-13
MYO19,8.450064,0.07889118,1.0520423457456867e-15,4.2329975823423457e-13
TOMM20L,8.426802,0.59245443,3.1661663753822522e-15,1.1174900901743886e-12
UCKL1,8.34271,0.06275848,3.3518899039080273e-15,1.1238886847803616e-12
ATP6V1C2,8.323213,0.18385112,1.0419633345215001e-14,3.0380026614352955e-12
PRR4,8.307755,0.11536404,5.939319870753437e-15,1.8669880806221507e-12
APBA3,8.293137,0.0678775,3.2966124085537005e-15,1.1238886847803616e-12
GMDS,8.286129,0.0736059,3.3376309160061187e-15,1.1238886847803616e-12
SCXB,8.277287,0.51908594,6.82408803657026e-15,2.1121077403033925e-12
C4orf48,8.240483,0.14787911,5.6595274888437756e-15,1.8072757781041123e-12
IDUA,8.229849,0.118119374,8.356377467358917e-15,2.472258851298922e-12
CEBPD,8.216133,0.15835561,7.937281582493282e-15,2.4194277405545436e-12
THBS3,8.202293,0.098367885,1.1953497837899238e-14,3.435435278612241e-12
CCDC84,8.138069,0.0968352,8.30785277858482e-15,2.472258851298922e-12
IFT20,8.1158,0.0792801,3.035197369876989e-14,7.930142946387696e-12
FAM176B,8.1116295,0.19990249,2.2672095004030787e-14,6.163746044474208e-12
ELMOD3,8.100502,0.05312735,2.6236822742378073e-14,7.037765332415495e-12
ZNF700,8.097069,0.06793728,2.23187293757799e-14,6.1507972271498634e-12
NDUFAF2,8.088148,0.081935175,2.9116361413593057e-14,7.707407354192962e-12
SLC38A6,8.07627,0.12076417,4.175810052312293e-14,1.0634043877521355e-11
NSUN5P2,8.0406685,0.10420116,2.2260774386649262e-14,6.1507972271498634e-12
AP4B1,8.004891,0.053143933,4.557596358988449e-14,1.1098821628813238e-11
LOC400927,7.9936485,0.21157065,3.375853349345117e-14,8.707104831041674e-12
BCAS4,7.978248,0.0972034,5.032933867807589e-14,1.2053876613399177e-11
RPPH1,7.9725876,0.33900195,6.3214628271665e-14,1.4617837834130538e-11
IER5L,7.9700913,0.15640505,4.3590876068628514e-14,1.0826682033934177e-11
PABPC1L,7.9485464,0.18107262,4.30572362134604e-14,1.0826682033934177e-11
HIST1H4E,7.9407125,0.5434255,7.901452743917634e-14,1.806379844342443e-11
LOC407835,7.916889,0.10986412,9.265196822755786e-14,2.07108032978001e-11
C7orf30,7.8952694,0.06708801,8.638934008545233e-14,1.952787352628236e-11
STX8,7.87683,0.06918959,1.495379508368817e-13,3.194614536337818e-11
ZFPM1,7.8524294,0.1007329,5.558040718340631e-14,1.3001937578090327e-11
LYG1,7.835568,0.30376723,1.0928473564780456e-13,2.3897720780027523e-11
LOC606724,7.8072624,0.17441489,1.0721293369965853e-13,2.3702305496370664e-11
TNFRSF6B,7.8068857,0.13380176,5.3541053362413294e-14,1.2672222488765068e-11
CCDC76,7.8019443,0.07087889,1.1989805142202537e-13,2.5936655897938777e-11
LOC728875,7.7891164,0.14288464,1.5085415098523348e-13,3.194614536337818e-11
ZCCHC9,7.782414,0.07896144,2.612768576763078e-13,5.41893589972367e-11
ZNF530,7.7478304,0.15551704,3.425058639351168e-13,6.865479573442461e-11
SNORD17,7.742484,0.7755927,3.446731468921804e-13,6.865479573442461e-11
ZNF579,7.715326,0.08453408,1.5667641527358728e-13,3.283350127577113e-11
MIF,7.6744905,0.07507907,2.999331739172083e-13,6.157199584557546e-11
SLC25A37,7.6735454,0.071026854,4.0675218139374435e-13,8.022588613018969e-11
LEPRE1,7.658424,0.097180665,4.307523320996247e-13,8.332572516519471e-11
LASS5,7.6422925,0.05525743,5.367343944526316e-13,1.0186813724149096e-10
RNFT1,7.603847,0.09518859,7.930349036953548e-13,1.4118828488976235e-10
ZNF90,7.5829425,0.187445,8.866138268393932e-13,1.5510345189873837e-10
GPR89C,7.5709615,0.18583266,7.530300843269365e-13,1.364816147431469e-10
C17orf42,7.568671,0.081085175,1.084304698144875e-12,1.8331127661578651e-10
CKLF,7.541224,0.09452341,1.2079713708212368e-12,2.008427110593524e-10
RPSAP9,7.5258894,0.12769862,8.826940706011826e-13,1.5510345189873837e-10
MRPL32,7.524689,0.060583152,1.1317358665381273e-12,1.8973551802511705e-10
ASIP,7.52177,0.45136416,6.597942597988401e-13,1.206703719875733e-10
C6orf26,7.5200815,0.14806056,6.575192394509761e-13,1.206703719875733e-10
CLDN7,7.515914,0.31856558,7.637926439044652e-13,1.3719625366133956e-10
FBXL12,7.5113754,0.0551018,9.394190081972513e-13,1.629244104044164e-10
TIA1,7.5087323,0.057939805,1.0403901593671625e-12,1.7889375406964597e-10
LEAP2,7.4987607,0.20938137,1.0569821304689685e-12,1.8020649576927718e-10
ZNF101,7.476096,0.079644434,1.61721383784861e-12,2.645130730881165e-10
TMEM39A,7.451193,0.071241185,1.5315817975789181e-12,2.525603492105957e-10
NME2P1,7.4396653,0.13853332,6.54691770277691e-13,1.206703719875733e-10
SFRS2,7.436444,0.034995876,1.8466194619337405e-12,2.948435740887539e-10
ZNF789,7.4201746,0.09783563,1.6341777240566705e-12,2.651321568755814e-10
LRRC36,7.360135,0.42010477,2.7732952966543158e-12,4.259019448709277e-10
DONSON,7.346235,0.07494293,2.39483003760843e-12,3.7639992731723744e-10
LOC440957,7.3445225,0.10771096,2.4153666469637436e-12,3.766848542916015e-10
SNORD22,7.340866,1.3360344,4.814423770186804e-12,7.018592565841893e-10
POLG2,7.32915,0.06978634,2.7975705386907096e-12,4.263751825559068e-10
SHFM1,7.298654,0.055840723,3.0129458673870586e-12,4.5574770646686354e-10
GDPD3,7.282594,0.1845244,2.5356023953749165e-12,3.9239422300117366e-10
CPSF4,7.281524,0.057513036,4.580590942990113e-12,6.775906514049639e-10
C2orf56,7.27668,0.04577936,4.641062069294568e-12,6.815247205114462e-10
ACN9,7.272171,0.14269304,5.206533614768057e-12,7.428726472475444e-10
SNHG3-RCC1,7.264406,0.10780185,3.856149353804232e-12,5.74651945924693e-10
LMBR1L,7.2460647,0.050345484,5.011921968055653e-12,7.253945766427598e-10
SH3D20,7.2355847,0.45958617,5.728255515093952e-12,8.058814297388819e-10
MTERFD1,7.228716,0.05869994,6.822208618208713e-12,9.33667979463421e-10
FBXL8,7.17862,0.17454113,6.372920985508594e-12,8.903501693504297e-10
POLR2H,7.169825,0.0534131,8.311787507283816e-12,1.1001088228390513e-09
