Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	negative regulation of cell cycle G1/S phase transition (GO:1902807)	2/35	4.442907e-05	8.253100e-03	0	0	3.024394e+02	3.030932e+03	RB1;PTEN
GO_Biological_Process_2021	negative regulation of G1/S transition of mitotic cell cycle (GO:2000134)	2/37	4.971747e-05	8.253100e-03	0	0	2.851286e+02	2.825383e+03	RB1;PTEN
GO_Biological_Process_2021	regulation of DNA-templated transcription, initiation (GO:2000142)	2/61	1.361753e-04	1.112435e-02	0	0	1.689407e+02	1.503837e+03	PTEN;TP53
GO_Biological_Process_2021	regulation of transcription initiation from RNA polymerase II promoter (GO:0060260)	2/64	1.499561e-04	1.112435e-02	0	0	1.607419e+02	1.415360e+03	PTEN;TP53
GO_Biological_Process_2021	regulation of G1/S transition of mitotic cell cycle (GO:2000045)	2/71	1.846694e-04	1.112435e-02	0	0	1.443841e+02	1.241262e+03	RB1;PTEN
GO_Biological_Process_2021	negative regulation of protein serine/threonine kinase activity (GO:0071901)	2/78	2.229557e-04	1.112435e-02	0	0	1.310395e+02	1.101850e+03	RB1;PTEN
GO_Biological_Process_2021	negative regulation of cell cycle (GO:0045786)	2/80	2.345494e-04	1.112435e-02	0	0	1.276667e+02	1.067018e+03	RB1;PTEN
GO_Biological_Process_2021	negative regulation of mitotic cell cycle phase transition (GO:1901991)	2/92	3.102068e-04	1.287358e-02	0	0	1.105778e+02	8.932773e+02	RB1;PTEN
GO_Biological_Process_2021	small GTPase mediated signal transduction (GO:0007264)	2/106	4.116288e-04	1.404455e-02	0	0	9.562500e+01	7.454340e+02	RB1;TP53
GO_Biological_Process_2021	negative regulation of cellular process (GO:0048523)	3/566	4.230286e-04	1.404455e-02	0	0	3.451332e+01	2.681019e+02	RB1;PTEN;TP53
GO_Biological_Process_2021	negative regulation of response to external stimulus (GO:0032102)	2/118	5.097797e-04	1.483631e-02	0	0	8.568103e+01	6.495935e+02	RB1;PTEN
GO_Biological_Process_2021	negative regulation of cell growth (GO:0030308)	2/126	5.809398e-04	1.483631e-02	0	0	8.012097e+01	5.969704e+02	RB1;TP53
GO_Biological_Process_2021	negative regulation of growth (GO:0045926)	2/126	5.809398e-04	1.483631e-02	0	0	8.012097e+01	5.969704e+02	RB1;TP53
GO_Biological_Process_2021	Ras protein signal transduction (GO:0007265)	2/142	7.369356e-04	1.591386e-02	0	0	7.090714e+01	5.114539e+02	RB1;TP53
GO_Biological_Process_2021	negative regulation of protein phosphorylation (GO:0001933)	2/152	8.436496e-04	1.591386e-02	0	0	6.614667e+01	4.681711e+02	RB1;PTEN
GO_Biological_Process_2021	neuron projection development (GO:0031175)	2/171	1.065818e-03	1.591386e-02	0	0	5.865385e+01	4.014276e+02	RB1;PTEN
GO_Biological_Process_2021	negative regulation of cell differentiation (GO:0045596)	2/191	1.326976e-03	1.591386e-02	0	0	5.239418e+01	3.471037e+02	RB1;PTEN
GO_Biological_Process_2021	bone marrow development (GO:0048539)	1/5	1.499220e-03	1.591386e-02	0	0	9.995000e+02	6.499559e+03	TP53
GO_Biological_Process_2021	negative regulation of organ growth (GO:0046621)	1/5	1.499220e-03	1.591386e-02	0	0	9.995000e+02	6.499559e+03	PTEN
GO_Biological_Process_2021	cellular response to antibiotic (GO:0071236)	1/5	1.499220e-03	1.591386e-02	0	0	9.995000e+02	6.499559e+03	TP53
GO_Biological_Process_2021	negative regulation of multicellular organismal process (GO:0051241)	2/214	1.661623e-03	1.591386e-02	0	0	4.665566e+01	2.985944e+02	RB1;PTEN
GO_Biological_Process_2021	regulation of cell growth (GO:0001558)	2/217	1.707962e-03	1.591386e-02	0	0	4.599767e+01	2.931181e+02	RB1;TP53
GO_Biological_Process_2021	negative regulation of cell size (GO:0045792)	1/6	1.798841e-03	1.591386e-02	0	0	7.995600e+02	5.053709e+03	PTEN
GO_Biological_Process_2021	regulation of thymocyte apoptotic process (GO:0070243)	1/6	1.798841e-03	1.591386e-02	0	0	7.995600e+02	5.053709e+03	TP53
GO_Biological_Process_2021	negative regulation of excitatory postsynaptic potential (GO:0090394)	1/6	1.798841e-03	1.591386e-02	0	0	7.995600e+02	5.053709e+03	PTEN
GO_Biological_Process_2021	positive regulation of extrinsic apoptotic signaling pathway via death domain receptors (GO:1902043)	1/6	1.798841e-03	1.591386e-02	0	0	7.995600e+02	5.053709e+03	PTEN
GO_Biological_Process_2021	postsynaptic density assembly (GO:0097107)	1/6	1.798841e-03	1.591386e-02	0	0	7.995600e+02	5.053709e+03	PTEN
GO_Biological_Process_2021	prepulse inhibition (GO:0060134)	1/6	1.798841e-03	1.591386e-02	0	0	7.995600e+02	5.053709e+03	PTEN
GO_Biological_Process_2021	regulation of collagen fibril organization (GO:1904026)	1/6	1.798841e-03	1.591386e-02	0	0	7.995600e+02	5.053709e+03	RB1
GO_Biological_Process_2021	regulation of transcription by RNA polymerase II (GO:0006357)	4/2206	1.842455e-03	1.591386e-02	0	0	1.615985e+01	1.017531e+02	RB1;PTEN;LBX1;TP53
GO_Biological_Process_2021	negative regulation of cell cycle phase transition (GO:1901988)	1/7	2.098387e-03	1.591386e-02	0	0	6.662667e+02	4.108591e+03	PTEN
GO_Biological_Process_2021	negative regulation of dendritic spine development (GO:0061000)	1/7	2.098387e-03	1.591386e-02	0	0	6.662667e+02	4.108591e+03	PTEN
GO_Biological_Process_2021	positive regulation of RNA polymerase II transcription preinitiation complex assembly (GO:0045899)	1/7	2.098387e-03	1.591386e-02	0	0	6.662667e+02	4.108591e+03	TP53
GO_Biological_Process_2021	ER overload response (GO:0006983)	1/8	2.397859e-03	1.591386e-02	0	0	5.710571e+02	3.445290e+03	TP53
GO_Biological_Process_2021	excitatory synapse assembly (GO:1904861)	1/8	2.397859e-03	1.591386e-02	0	0	5.710571e+02	3.445290e+03	PTEN
GO_Biological_Process_2021	stress-induced premature senescence (GO:0090400)	1/8	2.397859e-03	1.591386e-02	0	0	5.710571e+02	3.445290e+03	TP53
GO_Biological_Process_2021	regulation of wound healing, spreading of epidermal cells (GO:1903689)	1/8	2.397859e-03	1.591386e-02	0	0	5.710571e+02	3.445290e+03	PTEN
GO_Biological_Process_2021	positive regulation of execution phase of apoptosis (GO:1900119)	1/8	2.397859e-03	1.591386e-02	0	0	5.710571e+02	3.445290e+03	TP53
GO_Biological_Process_2021	postsynaptic density organization (GO:0097106)	1/8	2.397859e-03	1.591386e-02	0	0	5.710571e+02	3.445290e+03	PTEN
GO_Biological_Process_2021	regulation of protein localization to chromatin (GO:1905634)	1/8	2.397859e-03	1.591386e-02	0	0	5.710571e+02	3.445290e+03	RB1
GO_Biological_Process_2021	negative regulation of signal transduction (GO:0009968)	2/267	2.570683e-03	1.591386e-02	0	0	3.722453e+01	2.219916e+02	RB1;PTEN
GO_Biological_Process_2021	protein deubiquitination (GO:0016579)	2/267	2.570683e-03	1.591386e-02	0	0	3.722453e+01	2.219916e+02	PTEN;TP53
GO_Biological_Process_2021	regulation of helicase activity (GO:0051095)	1/9	2.697256e-03	1.591386e-02	0	0	4.996500e+02	2.955690e+03	TP53
GO_Biological_Process_2021	protein modification by small protein removal (GO:0070646)	2/276	2.743932e-03	1.591386e-02	0	0	3.598540e+01	2.122550e+02	PTEN;TP53
GO_Biological_Process_2021	regulation of RNA polymerase II transcription preinitiation complex assembly (GO:0045898)	1/10	2.996578e-03	1.591386e-02	0	0	4.441111e+02	2.580412e+03	TP53
GO_Biological_Process_2021	negative regulation of telomerase activity (GO:0051974)	1/10	2.996578e-03	1.591386e-02	0	0	4.441111e+02	2.580412e+03	TP53
GO_Biological_Process_2021	regulation of tau-protein kinase activity (GO:1902947)	1/10	2.996578e-03	1.591386e-02	0	0	4.441111e+02	2.580412e+03	RB1
GO_Biological_Process_2021	positive regulation of T cell apoptotic process (GO:0070234)	1/10	2.996578e-03	1.591386e-02	0	0	4.441111e+02	2.580412e+03	TP53
GO_Biological_Process_2021	hematopoietic stem cell differentiation (GO:0060218)	1/10	2.996578e-03	1.591386e-02	0	0	4.441111e+02	2.580412e+03	TP53
GO_Biological_Process_2021	DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator (GO:0006978)	1/10	2.996578e-03	1.591386e-02	0	0	4.441111e+02	2.580412e+03	TP53
GO_Biological_Process_2021	presynaptic membrane assembly (GO:0097105)	1/10	2.996578e-03	1.591386e-02	0	0	4.441111e+02	2.580412e+03	PTEN
GO_Biological_Process_2021	regulation of organ growth (GO:0046620)	1/10	2.996578e-03	1.591386e-02	0	0	4.441111e+02	2.580412e+03	PTEN
GO_Biological_Process_2021	negative regulation of phosphatidylinositol 3-kinase signaling (GO:0014067)	1/10	2.996578e-03	1.591386e-02	0	0	4.441111e+02	2.580412e+03	PTEN
GO_Biological_Process_2021	myelin maintenance (GO:0043217)	1/10	2.996578e-03	1.591386e-02	0	0	4.441111e+02	2.580412e+03	PTEN
GO_Biological_Process_2021	regulation of cell cycle (GO:0051726)	2/296	3.148332e-03	1.591386e-02	0	0	3.350340e+01	1.930092e+02	RB1;TP53
GO_Biological_Process_2021	positive regulation of production of miRNAs involved in gene silencing by miRNA (GO:1903800)	1/11	3.295826e-03	1.591386e-02	0	0	3.996800e+02	2.284211e+03	TP53
GO_Biological_Process_2021	central nervous system myelination (GO:0022010)	1/11	3.295826e-03	1.591386e-02	0	0	3.996800e+02	2.284211e+03	PTEN
GO_Biological_Process_2021	regulation of lipid kinase activity (GO:0043550)	1/11	3.295826e-03	1.591386e-02	0	0	3.996800e+02	2.284211e+03	RB1
GO_Biological_Process_2021	positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress (GO:1990440)	1/11	3.295826e-03	1.591386e-02	0	0	3.996800e+02	2.284211e+03	TP53
GO_Biological_Process_2021	DNA damage response, signal transduction resulting in transcription (GO:0042772)	1/11	3.295826e-03	1.591386e-02	0	0	3.996800e+02	2.284211e+03	TP53
GO_Biological_Process_2021	presynaptic membrane organization (GO:0097090)	1/11	3.295826e-03	1.591386e-02	0	0	3.996800e+02	2.284211e+03	PTEN
GO_Biological_Process_2021	phosphorylated carbohydrate dephosphorylation (GO:0046838)	1/11	3.295826e-03	1.591386e-02	0	0	3.996800e+02	2.284211e+03	PTEN
GO_Biological_Process_2021	inositol phosphate dephosphorylation (GO:0046855)	1/11	3.295826e-03	1.591386e-02	0	0	3.996800e+02	2.284211e+03	PTEN
GO_Biological_Process_2021	regulation of sister chromatid cohesion (GO:0007063)	1/12	3.594998e-03	1.591386e-02	0	0	3.633273e+02	2.044883e+03	RB1
GO_Biological_Process_2021	chromatin assembly or disassembly (GO:0006333)	1/12	3.594998e-03	1.591386e-02	0	0	3.633273e+02	2.044883e+03	TP53
GO_Biological_Process_2021	regulation of keratinocyte migration (GO:0051547)	1/12	3.594998e-03	1.591386e-02	0	0	3.633273e+02	2.044883e+03	PTEN
GO_Biological_Process_2021	replicative senescence (GO:0090399)	1/12	3.594998e-03	1.591386e-02	0	0	3.633273e+02	2.044883e+03	TP53
GO_Biological_Process_2021	brain morphogenesis (GO:0048854)	1/12	3.594998e-03	1.591386e-02	0	0	3.633273e+02	2.044883e+03	PTEN
GO_Biological_Process_2021	positive regulation of ubiquitin protein ligase activity (GO:1904668)	1/12	3.594998e-03	1.591386e-02	0	0	3.633273e+02	2.044883e+03	PTEN
GO_Biological_Process_2021	mitotic G1/S transition checkpoint signaling (GO:0044819)	1/12	3.594998e-03	1.591386e-02	0	0	3.633273e+02	2.044883e+03	TP53
GO_Biological_Process_2021	mRNA transcription (GO:0009299)	1/12	3.594998e-03	1.591386e-02	0	0	3.633273e+02	2.044883e+03	TP53
