Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_2022	Formation Of Senescence-Associated Heterochromatin Foci (SAHF) R-HSA-2559584	2/17	1.017948e-05	1.526922e-03	0	0	6.659667e+02	7.655378e+03	RB1;TP53
Reactome_2022	Oncogene Induced Senescence R-HSA-2559585	2/33	3.943661e-05	2.765079e-03	0	0	3.219839e+02	3.265179e+03	RB1;TP53
Reactome_2022	Ovarian Tumor Domain Proteases R-HSA-5689896	2/39	5.530158e-05	2.765079e-03	0	0	2.696892e+02	2.643685e+03	PTEN;TP53
Reactome_2022	Regulation Of PTEN Gene Transcription R-HSA-8943724	2/61	1.361753e-04	4.085260e-03	0	0	1.689407e+02	1.503837e+03	PTEN;TP53
Reactome_2022	DNA Damage/Telomere Stress Induced Senescence R-HSA-2559586	2/61	1.361753e-04	4.085260e-03	0	0	1.689407e+02	1.503837e+03	RB1;TP53
Reactome_2022	Generic Transcription Pathway R-HSA-212436	4/1190	1.697858e-04	4.244646e-03	0	0	3.171669e+01	2.753318e+02	RB1;PTEN;RETN;TP53
Reactome_2022	TP53 Regulates Metabolic Genes R-HSA-5628897	2/81	2.404553e-04	4.658044e-03	0	0	1.260443e+02	1.050324e+03	PTEN;TP53
Reactome_2022	RNA Polymerase II Transcription R-HSA-73857	4/1312	2.484290e-04	4.658044e-03	0	0	2.857187e+01	2.371566e+02	RB1;PTEN;RETN;TP53
Reactome_2022	Gene Expression (Transcription) R-HSA-74160	4/1449	3.655143e-04	6.091905e-03	0	0	2.567336e+01	2.031842e+02	RB1;PTEN;RETN;TP53
Reactome_2022	PTEN Regulation R-HSA-6807070	2/139	7.063015e-04	1.059452e-02	0	0	7.247080e+01	5.258096e+02	PTEN;TP53
Reactome_2022	Cellular Senescence R-HSA-2559583	2/165	9.929206e-04	1.353983e-02	0	0	6.083129e+01	4.206398e+02	RB1;TP53
Reactome_2022	Immune System R-HSA-168256	4/1943	1.134041e-03	1.405519e-02	0	0	1.862300e+01	1.263006e+02	PTEN;CEACAM8;RETN;TP53
Reactome_2022	Ub-specific Processing Proteases R-HSA-5689880	2/201	1.467983e-03	1.405519e-02	0	0	4.973618e+01	3.244722e+02	PTEN;TP53
