Term,Adjusted P-value,Overlap,P-value,Combined Score
Melanoma,3.014255e-05,3/72,8.877242e-07,4023.87
Glioma,3.014255e-05,3/75,1.004752e-06,3821.363
Small cell lung cancer,3.282669e-05,3/92,1.865027e-06,2950.466
Prostate cancer,3.282669e-05,3/97,2.188446e-06,2758.97
Breast cancer,9.150793e-05,3/147,7.655279e-06,1623.856
Cellular senescence,9.150793e-05,3/156,9.150793e-06,1504.502
Hepatocellular carcinoma,9.796713e-05,3/168,1.14295e-05,1367.518
Human T-cell leukemia virus 1 infection,0.000189588,3/219,2.527839e-05,969.2649
Bladder cancer,0.0004078743,2/41,6.118115e-05,2482.011
Human papillomavirus infection,0.0005194711,3/331,8.657851e-05,560.8683
Endometrial cancer,0.0006712006,2/58,0.0001230535,1602.675
Central carbon metabolism in cancer,0.0007936977,2/70,0.0001794914,1263.746
Non-small cell lung cancer,0.0007936977,2/72,0.0001899203,1219.478
p53 signaling pathway,0.0007936977,2/73,0.0001952442,1198.363
Chronic myeloid leukemia,0.0007936977,2/76,0.0002116527,1138.746
Pancreatic cancer,0.0007936977,2/76,0.0002116527,1138.746
Pathways in cancer,0.001237356,3/531,0.0003505842,293.3139
Sphingolipid signaling pathway,0.001728082,2/119,0.0005184246,642.5806
Cell cycle,0.001777015,2/124,0.0005627214,609.4128
Gastric cancer,0.00243268,2/149,0.0008108934,480.4712
Hepatitis C,0.00257044,2/157,0.000899654,448.8414
Hepatitis B,0.002611141,2/162,0.0009574185,430.8484
Kaposi sarcoma-associated herpesvirus infection,0.0035338,2/193,0.001354623,342.3655
Epstein-Barr virus infection,0.003592836,2/202,0.001482464,322.3477
Viral carcinogenesis,0.003592836,2/203,0.001497015,320.2469
Human cytomegalovirus infection,0.004233582,2/225,0.001834552,279.3188
MicroRNAs in cancer,0.007660529,2/310,0.003447238,181.2065
PI3K-Akt signaling pathway,0.009579816,2/354,0.004470581,150.9487
Thyroid cancer,0.02286218,1/37,0.01105005,499.5399
Ferroptosis,0.02447708,1/41,0.01223854,439.3038
Basal cell carcinoma,0.036298,1/63,0.01875397,255.6665
Mitophagy,0.03793076,1/68,0.02022974,232.0218
Inositol phosphate metabolism,0.0394612,1/73,0.02170366,211.9631
Colorectal cancer,0.04504804,1/86,0.02552722,171.8268
PD-L1 expression and PD-1 checkpoint pathway in cancer,0.04527053,1/89,0.02640781,164.4098
Phosphatidylinositol signaling system,0.04792134,1/97,0.0287528,147.1217
Longevity regulating pathway,0.04899898,1/102,0.03021604,137.848
Insulin resistance,0.05047814,1/108,0.03196949,127.9821
Neurotrophin signaling pathway,0.05363936,1/119,0.03517729,112.7661
Thyroid hormone signaling pathway,0.05363936,1/121,0.03575957,110.3317
FoxO signaling pathway,0.05580786,1/131,0.0386666,99.40493
Autophagy,0.05580786,1/137,0.04040731,93.70478
Measles,0.05580786,1/139,0.04098696,91.92756
Fluid shear stress and atherosclerosis,0.05580786,1/139,0.04098696,91.92756
Apoptosis,0.05580786,1/142,0.04185589,89.3673
mTOR signaling pathway,0.05823023,1/154,0.04532506,80.2431
Cushing syndrome,0.05823023,1/155,0.04561368,79.55447
Wnt signaling pathway,0.06097969,1/166,0.04878375,72.59476
Transcriptional misregulation in cancer,0.06886749,1/192,0.05624178,59.68055
Focal adhesion,0.06917594,1/201,0.05881203,56.0845
