Gene,GBM_mut,LGG_mut,pval,FDR
A1CF,3,3,0.4235081060898829,1.0
A2BP1,4,5,0.506868682875917,1.0
A2M,2,5,1.0,1.0
A2ML1,0,5,0.16968917798636085,1.0
AACS,2,2,0.6129467360897645,1.0
AADACL2,2,5,1.0,1.0
AADACL4,4,2,0.19015132781181593,1.0
AARS,1,3,1.0,1.0
AATF,0,3,0.555300505294623,1.0
ABCA1,1,5,0.6704048423590807,1.0
ABCA10,4,1,0.05190631466953338,0.9984238280609337
ABCA12,1,3,1.0,1.0
ABCA13,5,12,0.7989287519035151,1.0
ABCA2,0,3,0.555300505294623,1.0
ABCA3,1,3,1.0,1.0
ABCA4,3,6,1.0,1.0
ABCA5,3,3,0.4235081060898829,1.0
ABCA6,3,4,0.6988110156411875,1.0
ABCA7,2,10,0.23385314602648125,1.0
ABCA8,0,4,0.3041276425443637,1.0
ABCA9,3,2,0.3479791729957157,1.0
ABCB1,10,5,0.012565047405210774,0.9820527181773393
ABCB10,0,3,0.555300505294623,1.0
ABCB11,2,1,0.2776318594459757,1.0
ABCB4,6,5,0.2039365389802441,1.0
ABCB5,3,4,0.6988110156411875,1.0
ABCB7,1,4,0.6635915057670203,1.0
ABCB9,2,2,0.6129467360897645,1.0
ABCC1,1,2,1.0,1.0
ABCC10,2,7,0.7264026999583479,1.0
ABCC11,1,6,0.43173728841039627,1.0
ABCC3,1,3,1.0,1.0
ABCC4,4,3,0.2440874242159363,1.0
ABCC5,3,1,0.12322231267327528,1.0
ABCC8,1,2,1.0,1.0
ABCC9,11,4,0.00396185052837297,0.6209917713901175
ABCD2,3,2,0.3479791729957157,1.0
ABCE1,0,3,0.555300505294623,1.0
ABCF1,2,2,0.6129467360897645,1.0
ABCF2,2,2,0.6129467360897645,1.0
ABCG1,2,1,0.2776318594459757,1.0
ABCG2,2,1,0.2776318594459757,1.0
ABCG4,1,3,1.0,1.0
ABCG5,1,2,1.0,1.0
ABCG8,1,2,1.0,1.0
ABHD8,1,2,1.0,1.0
ABI3BP,2,4,1.0,1.0
ABL1,2,1,0.2776318594459757,1.0
ABL2,2,1,0.2776318594459757,1.0
ABLIM3,4,5,0.506868682875917,1.0
ABP1,4,3,0.2440874242159363,1.0
ABR,1,2,1.0,1.0
ABTB2,0,3,0.555300505294623,1.0
ACAA2,0,3,0.555300505294623,1.0
ACACA,5,8,0.774711300113603,1.0
ACACB,7,10,0.6104708293333782,1.0
ACAD11,2,3,1.0,1.0
ACAD8,2,2,0.6129467360897645,1.0
ACADS,3,2,0.3479791729957157,1.0
ACADVL,1,2,1.0,1.0
ACAN,5,10,1.0,1.0
ACAP1,2,2,0.6129467360897645,1.0
ACAP2,2,1,0.2776318594459757,1.0
ACAP3,2,1,0.2776318594459757,1.0
ACCN1,3,1,0.12322231267327528,1.0
ACCN3,1,3,1.0,1.0
ACCN5,1,2,1.0,1.0
ACE,5,4,0.2888957366365076,1.0
ACE2,2,2,0.6129467360897645,1.0
ACIN1,2,3,1.0,1.0
ACLY,1,3,1.0,1.0
ACO1,1,4,0.6635915057670203,1.0
ACO2,0,3,0.555300505294623,1.0
ACOT11,1,3,1.0,1.0
ACOT4,1,2,1.0,1.0
ACOT9,1,2,1.0,1.0
ACOXL,1,2,1.0,1.0
ACPP,0,4,0.3041276425443637,1.0
ACRC,4,4,0.45877715501005295,1.0
ACSBG1,0,5,0.16968917798636085,1.0
ACSF3,0,3,0.555300505294623,1.0
ACSL1,1,3,1.0,1.0
ACSL4,1,5,0.6704048423590807,1.0
