Gene,GBM_gain,LGG_gain,pval,FDR,freq_diff
A1BG,151,27,1.8214447738023628e-24,2.735445761296388e-23,0.22112867584565699
AAAS,34,9,0.0001495706990900623,0.0005497437001797738,0.044280129185789566
AACS,33,15,0.017288714357050795,0.035248698372819555,0.031157572667006632
AACSP1,27,10,0.007202344121864641,0.01641974740329154,0.029780724120346765
AADAC,33,5,3.61666815438958e-06,2.014655873242682e-05,0.05002549719530852
AADACL2,33,5,3.61666815438958e-06,2.014655873242682e-05,0.05002549719530852
AADACL3,41,11,4.571119131766079e-05,0.00020431269976447315,0.0531191568927418
AADACL4,41,11,4.571119131766079e-05,0.00020431269976447315,0.0531191568927418
AAMDC,11,31,0.001353968964074497,0.003746804109539487,0.03867074621791603
AAR2,181,41,1.5658261251669282e-25,2.5955382723793516e-24,0.2487676355600884
AARD,37,82,3.878959007280169e-06,2.146433543527398e-05,0.0880503144654088
AASDH,41,18,0.0045807899219342495,0.01122073120985297,0.03991160972293047
AASS,427,159,4.188471530846024e-56,8.809869110678654e-55,0.4693693693693694
ABCA1,43,23,0.021843137916567962,0.04297018482160886,0.03408125106238314
ABCA13,417,107,3.4571183021229175e-77,1.5975077741932916e-75,0.5494645588985212
ABCA4,43,16,0.0006959087686901522,0.0020625928336666086,0.04728879823219446
ABCA7,188,54,1.6019619847483446e-21,1.370841315495763e-20,0.23685194628590853
ABCB1,437,133,2.630758197725406e-73,1.062062543372047e-71,0.5364439911609722
ABCB10,49,24,0.005132844054450176,0.01228642843636161,0.04300526942036376
ABCB4,436,133,8.983175537140103e-73,3.550245532020265e-71,0.5346421893591704
ABCB5,422,105,1.1114445268444103e-80,6.597499566857452e-79,0.5622471528131905
ABCB7,7,22,0.004031012981781117,0.01000293340389769,0.028896821349651537
ABCB8,436,162,9.341070200180428e-59,2.607512867403526e-57,0.479925208227095
ABCC13,38,16,0.004812498365844113,0.011649597108034636,0.038279789223185444
ABCC5,65,14,3.5461000515614924e-09,2.3817231920550307e-08,0.09070202277749448
ABCD2,34,13,0.004123594272487196,0.010172164714883823,0.036732959374468806
