Gene,GBM_gain,LGG_gain,pval,FDR,freq_diff
A1BG,151,27,1.8214447738023628e-24,2.735445761296388e-23,0.22112867584565699
AAR2,181,41,1.5658261251669282e-25,2.5955382723793516e-24,0.2487676355600884
AASS,427,159,4.188471530846024e-56,8.809869110678654e-55,0.4693693693693694
ABCA13,417,107,3.4571183021229175e-77,1.5975077741932916e-75,0.5494645588985212
ABCA7,188,54,1.6019619847483446e-21,1.370841315495763e-20,0.23685194628590853
ABCB1,437,133,2.630758197725406e-73,1.062062543372047e-71,0.5364439911609722
ABCB4,436,133,8.983175537140103e-73,3.550245532020265e-71,0.5346421893591704
ABCB5,422,105,1.1114445268444103e-80,6.597499566857452e-79,0.5622471528131905
ABCB8,436,162,9.341070200180428e-59,2.607512867403526e-57,0.479925208227095
ABHD12,179,43,4.8169822090044494e-24,6.570521236587541e-23,0.2413904470508244
ABHD17A,185,49,5.373192453598071e-23,6.10859986889749e-22,0.2408805031446541
ACER1,169,45,1.5795631550128622e-20,1.287832761236871e-19,0.21959884412714603
ACN9,432,147,6.784902986485259e-64,2.369666815140363e-62,0.5010198878123406
ACP5,179,47,2.8280184962034106e-22,2.7507242082890425e-21,0.23384327723950366
ACSBG2,173,45,1.4620421134476617e-21,1.2546827691289705e-20,0.22680605133435322
ACSS1,176,41,3.78667007685317e-24,5.2172670838698085e-23,0.23975862655107938
ACSS2,178,39,1.1698931672142e-25,1.945676144542952e-24,0.24713581506034338
ACTB,423,102,3.2185541898336736e-83,3.380157120484064e-81,0.569709331973483
ACTL10,180,40,9.832075142871e-26,1.647969916245945e-24,0.2488526262111168
ACTL6B,431,153,1.2133420317083028e-60,3.8524250808023873e-59,0.48789733129355767
ACTL9,180,46,5.697983127401871e-23,6.4388495566080735e-22,0.23753187149413568
ACTN4,162,30,5.886666498773573e-26,1.0103537997552173e-24,0.23528811830698626
ACTR3B,437,162,3.029168415749397e-59,8.867846251018412e-58,0.4817270100288968
ACTR3C,434,163,1.302817760068134e-57,3.212761431970975e-56,0.47443481217066125
ADA,175,40,2.4220434380638157e-24,3.4445310940191653e-23,0.23984361720210778
ADAM22,436,134,2.880755821160949e-72,1.1150306938710087e-70,0.5327553969063403
ADAM33,176,43,3.120540584205419e-23,3.6498659262925995e-22,0.235985041645419
ADAMTS10,181,47,8.424094433323936e-23,9.154345166400787e-22,0.23744688084310728
ADCK2,435,166,1.479583791794272e-56,3.2017852140009192e-55,0.47057623661397247
ADCK4,142,30,1.9932860750796773e-20,1.606826101746999e-19,0.1992520822709502
ADCY1,417,109,8.26443321956443e-76,3.496204453279398e-74,0.5456909739928608
ADCYAP1R1,429,107,2.2949409788303466e-83,2.9969933582673167e-81,0.5710861805201428
ADM5,129,25,1.9951762697175294e-19,1.514841113175827e-18,0.18526262111167774
ADRA1D,176,42,1.0972396149919154e-23,1.3882345861793248e-22,0.2378718340982492
AES,183,44,1.1225390558000175e-24,1.7290555425645807e-23,0.24671086180520146
AGAP2,119,36,2.7122014305322224e-12,1.9582615905640825e-11,0.1464898861125276
AGBL3,437,162,3.029168415749397e-59,8.867846251018412e-58,0.4817270100288968
AGFG2,431,152,4.259721605931774e-61,1.3640191701041233e-59,0.48978412374638786
AGK,434,166,4.424324910860391e-56,9.272509755746874e-55,0.4687744348121707
AGMO,420,103,4.874588531318647e-81,3.0002692853829283e-79,0.5624171341152473
AGR2,419,103,1.633910125861289e-80,9.19028549445125e-79,0.5606153323134455
AGR3,418,103,5.44646421526737e-80,2.931720415228866e-78,0.5588135305116437
AHCY,179,39,6.112026012617255e-26,1.0395289542184137e-24,0.24893761686214516
AHCYL2,438,165,1.972542924286032e-58,5.445523830317578e-57,0.4778684344722081
AHR,419,103,1.633910125861289e-80,9.19028549445125e-79,0.5606153323134455
AIMP2,422,101,2.8232441068338105e-83,3.16772421791733e-81,0.5697943226245112
AKAP8,179,48,7.498757286235427e-22,6.715345076009758e-21,0.23195648478667347
AKAP8L,178,48,1.3610128752432245e-21,1.1706581535167666e-20,0.23015468298487168
AKAP9,437,141,2.6431249520143764e-69,9.923612632337976e-68,0.5213496515383307
AKR1B1,437,162,3.029168415749397e-59,8.867846251018412e-58,0.4817270100288968
AKR1B10,438,162,9.760653404951121e-60,2.9976583401954182e-58,0.4835288118306987
AKR1D1,436,164,6.833579626137655e-58,1.7161655321962424e-56,0.4761516233214346
AKT1S1,127,26,2.136325746062673e-18,1.546930571570358e-17,0.17977222505524393
AKT2,148,31,1.5214337615308305e-21,1.3041605154492016e-20,0.20817610062893083
ALKBH4,428,152,1.1568458565832127e-59,3.5169050757422446e-58,0.4843787183409825
ALKBH6,164,29,4.3334471563573254e-27,8.237937897996749e-26,0.24077851436342002
ALKBH7,168,45,2.8458416955479455e-20,2.27576414183914e-19,0.21779704232534425
AMPH,423,108,1.5645684059823916e-79,8.074463340564795e-78,0.5583885772565018
AMZ1,421,99,6.236905209788401e-84,1.1708230305075278e-81,0.5717661057283699
ANKEF1,179,42,1.663709573845344e-24,2.513640883300742e-23,0.2432772395036546
ANKIB1,440,142,2.2378257949620875e-70,8.52986492100016e-69,0.524868264490906
ANKRD24,180,44,7.353242217597066e-24,9.495356115552256e-23,0.24130545639979606
ANKRD27,164,29,4.3334471563573254e-27,8.237937897996749e-26,0.24077851436342002
ANKRD60,174,45,8.014317579657137e-22,7.147210297582594e-21,0.22860785313615506
ANKRD61,423,101,8.2131173137774e-84,1.2715937713227733e-81,0.571596124426313
ANKRD7,426,158,4.433121590508893e-56,9.272509755746874e-55,0.4694543600203978
ANLN,425,108,1.3093525718022194e-80,7.505288902032721e-79,0.5619921808601054
AOAH,425,108,1.3093525718022194e-80,7.505288902032721e-79,0.5619921808601054
AOC1,434,163,1.302817760068134e-57,3.212761431970975e-56,0.47443481217066125
AP1M1,178,47,5.162432934071453e-22,4.7916821881263956e-21,0.23204147543770187
AP1M2,185,50,1.4264035665812464e-22,1.4824725787485923e-21,0.23899371069182387
AP1S1,431,152,4.259721605931774e-61,1.3640191701041233e-59,0.48978412374638786
AP2A1,129,26,6.3045481541317535e-19,4.654951041236513e-18,0.18337582865884755
AP2S1,124,23,2.319396937526648e-19,1.7547961313740657e-18,0.1800271970083291
AP3D1,185,50,1.4264035665812464e-22,1.4824725787485923e-21,0.23899371069182387
AP5S1,177,43,1.6779817172876534e-23,2.0571370963449778e-22,0.23778684344722084
AP5Z1,422,101,2.8232441068338105e-83,3.16772421791733e-81,0.5697943226245112
APC2,184,49,9.842795527074249e-23,1.050597748582808e-21,0.2390787013428523
APCDD1L,175,44,1.6070606987810127e-22,1.6496813106147128e-21,0.23229644739078703
APLP1,163,29,8.457945446815348e-27,1.5681657372873195e-25,0.23897671256161823
APOC1,132,26,9.923823023702502e-20,7.662517952183248e-19,0.18878123406425296
APOC1P1,132,26,9.923823023702502e-20,7.662517952183248e-19,0.18878123406425296
APOC2,132,27,3.1174267466546977e-19,2.3479195025707245e-18,0.18689444161142277
AQP1,429,107,2.2949409788303466e-83,2.9969933582673167e-81,0.5710861805201428
