Gene,GBM_loss,LGG_loss,pval,FDR,freq_diff
A1BG,57,250,1.813934410614907e-43,2.1574760662119658e-42,0.36899541050484447
A1CF,444,84,1.0306508603296633e-106,7.859105189782844e-105,0.6415094339622642
A2ML1,41,10,1.9055381272330483e-05,6.597140757615776e-05,0.055005949345571986
A2MP1,43,11,1.7244883465093664e-05,5.981358564133849e-05,0.056722760496345406
A4GALT,163,55,2.380243902029398e-15,1.566872212808309e-14,0.1899201087880333
AADACL3,44,186,4.626435532894984e-29,3.526043357440307e-28,0.27166411694713577
AADACL4,45,186,1.4671762257919092e-28,1.1131273365578818e-27,0.269862315145334
AADAT,42,89,3.952383057395415e-06,1.53338580289757e-05,0.0922488526262111
AAMDC,48,13,8.442569680001136e-06,3.076019445379022e-05,0.06195818459969404
AAR2,9,1,0.02124361667577746,0.04203393173123407,0.014329423763386029
AARD,23,8,0.010210002752726606,0.02207782659442336,0.026347101818799932
AARS,49,13,5.192274458826104e-06,1.9711485195978198e-05,0.06375998640149583
AARSD1,25,9,0.008592030454918093,0.018839509778686262,0.028063912969573345
AASDH,20,40,0.005052797587558806,0.01167201681690118,0.03943566207717151
AATF,38,9,2.0854681033729672e-05,7.150856390976652e-05,0.05148733639299677
AATK,15,4,0.01877659489313682,0.03792685336623656,0.019479857215706275
ABAT,23,5,0.000856017338988184,0.002343983315034725,0.0320074791772905
ABCA10,14,2,0.00407043139450625,0.009573511884808655,0.021451640319564848
ABCA13,9,1,0.02124361667577746,0.04203393173123407,0.014329423763386029
ABCA17P,21,5,0.0023727684072766993,0.005873080740502649,0.0284038755736869
ABCA3,24,5,0.0005085725209138174,0.0014546413574195289,0.033809280979092304
ABCA4,26,179,4.299319434123597e-37,3.776864125111384e-36,0.2908890022097569
ABCA5,14,2,0.00407043139450625,0.009573511884808655,0.021451640319564848
ABCA6,14,2,0.00407043139450625,0.009573511884808655,0.021451640319564848
ABCA8,14,2,0.00407043139450625,0.009573511884808655,0.021451640319564848
ABCB7,2,11,0.0107961595345732,0.023224961839948245,0.01715111337752847
ABCC11,42,6,7.592284865787007e-08,3.6731498632480654e-07,0.06435492095869455
ABCC12,42,8,9.051506122766144e-07,3.9016276894173035e-06,0.060581336053034174
ABCC2,467,106,5.331769634944128e-107,4.683850494510567e-105,0.6414414414414413
ABCC4,150,73,7.780448498421547e-08,3.762971582205038e-07,0.13253442121366651
ABCC9,35,12,0.0014681100465925546,0.0038576087318372147,0.0404215536291008
ABCD3,22,178,1.2460292536612078e-39,1.2060471294135736e-38,0.29620941696413394
ABCG2,27,61,8.147245068961223e-05,0.0002572796204034801,0.06644569097399286
ABCG4,44,10,4.135802657855368e-06,1.5930263468282908e-05,0.06041135475097739
ABHD13,128,61,5.726994998944804e-07,2.5581599427341316e-06,0.11553629100798912
ABHD15,32,11,0.0017493898903887155,0.004536394775318364,0.03690294067652558
ABHD16A,43,20,0.006069771971890453,0.013867698032203557,0.039741628420873705
ABHD17B,49,24,0.005132844054450176,0.011835085707743753,0.04300526942036376
ABHD4,145,54,8.115008923425979e-12,4.801247107038403e-11,0.15937446880843106
ABI1,432,75,6.378709672792363e-106,3.7576853609681134e-104,0.6368689444161143
ABL1,47,26,0.021132936374262862,0.04203393173123407,0.03562808091109977
ABLIM1,468,128,5.159907337767868e-94,1.3318235056348611e-92,0.6017338092809792
ABO,47,26,0.021132936374262862,0.04203393173123407,0.03562808091109977
ABR,48,6,2.176065860290456e-09,1.1373994903717199e-08,0.07516573176950536
ABRACL,117,75,0.0031835140296758418,0.00768113519977361,0.06930137684854668
ACA59,20,5,0.003903434305673175,0.009245883024254562,0.026602073771885094
ACACA,39,10,5.1357180338113044e-05,0.0001663764423202791,0.05140234574196839
ACADM,17,177,3.0635368298340698e-43,3.548222841770809e-42,0.3033316335203127
ACADSB,471,133,3.7299304088958647e-93,9.18541222990716e-92,0.5977052524222335
ACADVL,56,8,4.944714832035768e-10,2.6377665556406714e-09,0.08580656127825939
ACAN,65,40,0.023587872788536343,0.04592237234699235,0.04164541900390957
ACAP3,54,190,9.591896693950373e-26,7.179345896189462e-25,0.2611932687404385
ACAT1,49,12,2.1252990824413047e-06,8.659138274052964e-06,0.06564677885432603
ACBD4,19,5,0.006365439996231839,0.014413855783338439,0.02480027197008329
ACBD5,432,75,6.378709672792363e-106,3.7576853609681134e-104,0.6368689444161143
ACBD7,424,77,1.0203473077059256e-99,3.4290060976193323e-98,0.6186809450960394
ACE,13,1,0.001783177570548905,0.0045828731334107186,0.021536630970593235
ACE2,9,30,0.00045456488837536494,0.0013154447607734026,0.040387557368689445
ACER2,286,132,1.4123241305491474e-19,1.02690866839832e-18,0.26625871154173036
ACER3,51,14,4.6169206421054886e-06,1.770173095602569e-05,0.06547679755226926
ACKR3,23,48,0.0012821354839669845,0.0033968675908557394,0.04912459629440761
ACKR6,58,8,1.484166186421526e-10,8.069180040689166e-10,0.089410164881863
ACLY,29,10,0.003140685059375372,0.007589068185873089,0.03338432772395036
ACO1,197,80,9.7984338780974e-15,6.255506745294481e-14,0.20401155872853985
ACO2,157,52,5.165058105016503e-15,3.353046795745804e-14,0.18476967533571306
ACOT11,9,175,6.57489999228143e-50,1.1592505596719677e-48,0.3139724630290668
ACOT7,102,203,3.20109857357543e-13,1.9928264721197725e-12,0.19923508414074453
ACOT9,9,33,0.00010344275980020623,0.0003218552480776094,0.04604793472718001
ACOX1,12,2,0.01270460490418217,0.026673455607354936,0.017848036715961246
ACP6,12,85,8.614276842804593e-17,5.952330576477029e-16,0.1387557368689444
ACR,168,58,1.8044692565952823e-15,1.191504930662608e-14,0.19326874043855177
ACSF3,51,19,0.00017523897076983356,0.0005310550370999475,0.05604283528811831
ACSL1,48,88,7.603112497412633e-05,0.0002407545445533992,0.0795512493625701
ACSL5,467,126,1.710304810509623e-94,4.468208497995749e-93,0.6037055923848376
ACSM1,36,11,0.0004708648962629411,0.0013566038495707521,0.0441101478837328
ACSM2A,34,11,0.0007391721636164973,0.002057791742373429,0.04050654428012919
ACSM3,39,11,0.00011840273809974537,0.00036657995295432294,0.0495155532891382
ACSM4,34,8,5.979734871378052e-05,0.0001923090927806489,0.046166921638619754
ACSM5,33,11,0.0011411924436266485,0.0030525272236751272,0.03870474247832739
ACSS2,9,1,0.02124361667577746,0.04203393173123407,0.014329423763386029
ACTA2,469,104,1.1285222237232264e-109,1.48707551269915e-107,0.6488186299507055
ACTC1,107,46,5.155535593050556e-07,2.3077430487951757e-06,0.10600033996260412
