Gene,GBM_loss,LGG_loss,pval,FDR,freq_diff
A1BG,57,250,1.813934410614907e-43,2.1574760662119658e-42,0.36899541050484447
A1CF,444,84,1.0306508603296633e-106,7.859105189782844e-105,0.6415094339622642
A4GALT,163,55,2.380243902029398e-15,1.566872212808309e-14,0.1899201087880333
AADACL3,44,186,4.626435532894984e-29,3.526043357440307e-28,0.27166411694713577
AADACL4,45,186,1.4671762257919092e-28,1.1131273365578818e-27,0.269862315145334
ABCA4,26,179,4.299319434123597e-37,3.776864125111384e-36,0.2908890022097569
ABCC2,467,106,5.331769634944128e-107,4.683850494510567e-105,0.6414414414414413
ABCC4,150,73,7.780448498421547e-08,3.762971582205038e-07,0.13253442121366651
ABCD3,22,178,1.2460292536612078e-39,1.2060471294135736e-38,0.29620941696413394
ABHD13,128,61,5.726994998944804e-07,2.5581599427341316e-06,0.11553629100798912
ABHD4,145,54,8.115008923425979e-12,4.801247107038403e-11,0.15937446880843106
ABI1,432,75,6.378709672792363e-106,3.7576853609681134e-104,0.6368689444161143
ABLIM1,468,128,5.159907337767868e-94,1.3318235056348611e-92,0.6017338092809792
ACADM,17,177,3.0635368298340698e-43,3.548222841770809e-42,0.3033316335203127
ACADSB,471,133,3.7299304088958647e-93,9.18541222990716e-92,0.5977052524222335
ACAP3,54,190,9.591896693950373e-26,7.179345896189462e-25,0.2611932687404385
ACBD5,432,75,6.378709672792363e-106,3.7576853609681134e-104,0.6368689444161143
ACBD7,424,77,1.0203473077059256e-99,3.4290060976193323e-98,0.6186809450960394
ACER2,286,132,1.4123241305491474e-19,1.02690866839832e-18,0.26625871154173036
ACO1,197,80,9.7984338780974e-15,6.255506745294481e-14,0.20401155872853985
ACO2,157,52,5.165058105016503e-15,3.353046795745804e-14,0.18476967533571306
ACOT11,9,175,6.57489999228143e-50,1.1592505596719677e-48,0.3139724630290668
ACOT7,102,203,3.20109857357543e-13,1.9928264721197725e-12,0.19923508414074453
ACP6,12,85,8.614276842804593e-17,5.952330576477029e-16,0.1387557368689444
ACR,168,58,1.8044692565952823e-15,1.191504930662608e-14,0.19326874043855177
ACSL5,467,126,1.710304810509623e-94,4.468208497995749e-93,0.6037055923848376
ACTA2,469,104,1.1285222237232264e-109,1.48707551269915e-107,0.6488186299507055
ACTC1,107,46,5.155535593050556e-07,2.3077430487951757e-06,0.10600033996260412
ACTL8,30,181,2.365117456087555e-35,1.9564314110874037e-34,0.2874553799082101
ACTN4,31,207,1.2953340982950224e-43,1.5755877590759374e-42,0.33471018187999324
ADAM12,468,135,4.4310686909148925e-90,1.0085380890139926e-88,0.5885262621111678
ADAM30,13,175,4.787304893412071e-46,7.064331444875848e-45,0.3067652558218596
ADAM8,465,134,1.0327008592977264e-88,2.318868805436539e-87,0.5850076491585925
ADAMTS14,460,89,8.198379656653649e-114,3.3096618561234632e-111,0.660904300526942
ADAMTSL1,282,134,4.051109676830586e-18,2.842399325798648e-17,0.25527791942886285
ADARB2,425,80,2.8965248729975383e-98,8.684949429574656e-97,0.6148223695393507
ADC,18,175,1.067977692028586e-41,1.1125631684919152e-40,0.29775624681285057
ADCK4,42,214,2.7065956236934592e-39,2.5963269130985403e-38,0.3280979092299847
ADD3,466,119,3.1024906650218045e-98,9.28398700596764e-97,0.6151113377528472
ADK,462,90,1.7905425882639297e-114,1.681095672556297e-111,0.6626211116777155
ADM5,62,241,8.390284497146948e-38,7.56990112409258e-37,0.3430052694203638
ADO,451,84,2.758322437406127e-111,4.603946628301649e-109,0.6541220465748768
ADORA2A,143,40,2.6394748330209206e-16,1.7965650630557442e-15,0.1821859595444501
ADORA3,11,178,7.206033707273123e-49,1.2259234241297494e-47,0.3160292367839537
ADPRHL1,124,62,3.8038240760172917e-06,1.4837975920522397e-05,0.10644229134795172
ADRA2A,465,121,2.1840663896031714e-96,6.020008312774099e-95,0.609535951045385
ADRB1,467,128,2.3509074726415425e-93,5.8469092804670944e-92,0.5999320074791772
ADRBK2,142,40,4.556909341226344e-16,3.079347373994698e-15,0.18038415774264832
ADSL,153,50,8.587587261105248e-15,5.4988378446855507e-14,0.18133605303416625
AGAP11,464,103,6.922980860575577e-107,5.4165113795607455e-105,0.6416964133945267
AGAP6,443,84,2.3433785183565653e-106,1.6522030890387458e-104,0.6397076321604623
AGBL4,18,182,3.295387621809327e-44,4.245567140207522e-43,0.3109637939826619
AGL,14,177,7.285112637380047e-46,1.0594091194455281e-44,0.30873703892571813
AGMAT,34,185,3.1836976222991798e-34,2.5768052630483986e-33,0.28779534251232364
AGO1,15,174,7.19015851111101e-44,8.882447463314932e-43,0.3012748597654258
AGO3,14,174,9.267170816662758e-45,1.255288007285013e-43,0.30307666156722757
AGO4,16,174,5.268598984308307e-43,5.97319954281354e-42,0.299473057963624
AHCYL1,10,178,6.145671717848907e-50,1.091256271223715e-48,0.31783103858575557
AHDC1,31,180,2.1059162728764916e-34,1.7081573569735774e-33,0.2837667856535781
AIFM3,139,39,9.514851696084588e-16,6.372363003949295e-15,0.1768655447900731
AIM1L,28,182,9.988276876774235e-37,8.613312011647677e-36,0.2929457759646439
AJAP1,84,198,4.5154923714401954e-17,3.1432681373389536e-16,0.22223355430902597
AK2,19,175,6.784151341843331e-41,6.82595589130412e-40,0.2959544450110488
AK3,211,120,3.977166237086633e-08,1.9652957636024803e-07,0.15376508584055754
AK4,7,175,3.2203795423770618e-52,6.250199158344731e-51,0.3175760666326704
AK5,14,178,3.1081515563382683e-46,4.618264359971658e-45,0.3106238313785483
AKAP11,181,90,3.039346062798197e-09,1.574924337887358e-08,0.15631480537140915
AKAP6,146,54,5.072395259963783e-12,3.032133768212333e-11,0.16117627061023285
AKNAD1,11,177,1.692690468599319e-48,2.8474351869315757e-47,0.31414244433112354
AKR1A1,3,173,9.903639137441096e-57,2.0983422725337114e-55,0.3210096889342172
AKR1C1,423,78,1.8949362660468105e-98,5.762294046266233e-97,0.6149923508414075
AKR1C2,423,77,3.958689926991594e-99,1.276125323675273e-97,0.6168791432942377
AKR1C3,423,78,1.8949362660468105e-98,5.762294046266233e-97,0.6149923508414075
AKR1C4,423,78,1.8949362660468105e-98,5.762294046266233e-97,0.6149923508414075
AKR1C7P,424,78,4.912296237618339e-99,1.57676312139963e-97,0.6167941526432092
AKR1CL1,423,78,1.8949362660468105e-98,5.762294046266233e-97,0.6149923508414075
AKR1E2,423,78,1.8949362660468105e-98,5.762294046266233e-97,0.6149923508414075
