names,scores,logfoldchanges,pvals,pvals_adj
SNORA67,10.651581,1.0923088,3.044906320367402e-22,5.104785446095949e-19
SNORD10,9.974715,1.0537593,6.012532457572374e-20,6.720007110080057e-17
SNORA63,9.684633,1.3023194,9.980484175010356e-19,9.12669911967538e-16
SNORA57,8.502105,1.2631241,3.641113140656916e-15,1.200851051864522e-12
SNORD22,7.340866,1.3360344,4.814423770186804e-12,7.018592565841893e-10
SNORD94,7.0364356,1.3276465,2.731560056271377e-11,3.0361063653076e-09
SNORA10,6.936717,1.5441566,5.4258106682393536e-11,5.22279708247078e-09
SNORA48,6.8073673,1.4861721,1.0657191361886195e-10,9.084804060102816e-09
SNORD15B,6.2295,1.3633145,2.6027914152859692e-09,1.0646642758172763e-07
SNORA72,6.065306,1.3612173,6.67266832435699e-09,2.1934761658400968e-07
HIST1H4A,5.959242,1.1870204,1.0472075981945783e-08,3.111923553985011e-07
RNU11,5.458743,1.3362654,1.339505150086367e-07,2.3311561080828316e-06
SNORA76,5.3678474,1.5644965,2.3910620780775045e-07,3.7145472499431068e-06
SNORA40,5.325295,1.2736614,2.7276714705824453e-07,4.092117423204894e-06
HOXB9,5.278962,1.0357844,3.359471376231975e-07,4.824114571522831e-06
SNORD97,5.2451534,1.2164636,3.850081847276928e-07,5.365019390548175e-06
SNORA5A,5.227884,1.3688322,4.182594349112108e-07,5.724179123499142e-06
SNORA21,5.002213,1.6132133,1.288184811647519e-06,1.391073646845131e-05
RNU4ATAC,4.985622,1.621836,1.3906324153415927e-06,1.473235541434553e-05
HIST1H4B,4.98308,1.0099378,1.2464655371818271e-06,1.3532862211022124e-05
SNORA61,4.9253297,1.0905824,1.7995049164122953e-06,1.8128412573050854e-05
HIST1H3G,4.882724,1.1536647,2.114252620816787e-06,2.062098751608075e-05
HIST1H2AH,4.847304,1.0570738,2.4537183949448232e-06,2.328486163655658e-05
SNORA6,4.763867,1.2678596,3.513326886072967e-06,3.0757663313322865e-05
SNORA23,4.759837,1.2462523,3.610420942435922e-06,3.144348420776012e-05
SNORA65,4.747099,1.0822715,3.853328284029101e-06,3.3142906548994214e-05
MMP8,4.724002,1.2470118,4.598386556874462e-06,3.7976330357635647e-05
SNORA47,4.716593,1.1930535,4.445273389493174e-06,3.700041789401063e-05
SNORA68,4.638892,1.6458697,6.412290185883596e-06,4.976946526219374e-05
SNORA26,4.6338797,1.8931531,6.7292937667775345e-06,5.165201526136224e-05
HOXC11,4.633829,1.0345393,6.406379555030522e-06,4.974278035048399e-05
HIST1H3I,4.618144,1.3645656,6.919300588667429e-06,5.286839697790024e-05
HOXC13,4.611971,1.0323974,7.060060494433916e-06,5.369916711796655e-05
HOTAIR,4.584299,1.0071939,7.934456089413096e-06,5.9164339365015817e-05
SNORA22,4.5444326,1.71049,9.721373729161361e-06,6.959950059902786e-05
SNORA3,4.541725,1.6408739,9.914087002030026e-06,7.075260812587445e-05
SNORA12,4.5313663,1.3428421,1.0340876896811738e-05,7.335605127294023e-05
HCRT,4.5214605,1.0379218,1.1017948545800363e-05,7.72600518802411e-05
SNORA11,4.484692,1.7393332,1.290966829388426e-05,8.750562895430038e-05
SNORA11D,4.4480734,1.6570501,1.503581084472072e-05,9.872403478266693e-05
