Gene,GBM_mut,LGG_mut,pval,FDR
ADAM29,9,0,6.720111687180754e-05,0.03072211059656135
ATRX,16,197,7.090075681442032e-26,1.9448077594195495e-22
CIC,1,108,7.068426692601108e-21,9.694347208902419e-18
EGFR,73,35,8.140605176612239e-14,8.931871999778948e-11
FUBP1,0,47,1.165722200778815e-09,1.0658586655787631e-06
IDH1,14,400,4.041243375472358e-95,2.2170261157841357e-91
NOTCH1,0,42,1.2004834363788581e-08,9.40836018853488e-06
PTEN,84,26,5.926928173522378e-22,1.0838375986647922e-18
RB1,24,6,2.945676467201441e-07,0.00016159981099067103
SEMA3C,11,1,6.406288996902641e-05,0.03072211059656135
SPTA1,24,6,2.945676467201441e-07,0.00016159981099067103
TP53,80,250,1.6420597191153033e-07,0.00011260424523833193
TTN,73,76,8.217174672298811e-05,0.03467647711710098
